Id,Name,Gender,Age,Birthdate,Address
1bfb7772-dbc7-4e6a-8a85-e01b5ec6dbdd,Mille Crepe Cake,Cake,6500
b0cfe56b-5969-4f8e-84be-f3266f3b04be,Cappuccino,Coffee,6500
1ec4d907-ebec-4821-9cf0-f02c78c78c1c,Chocolate Mousse Cake,Cake,6000
77cd6235-38ab-4c00-a21f-c08ba5c2f87f,Double Espresso,Coffee,6000
c2b3ddce-921e-456f-9263-3c1a4d447909,Victoria Sponge Cake,Cake,6000
f7f44d1a-5861-4b1b-8c4b-9ca46a9d5786,Lemon Pound Cake,Cake,6500
bda04f19-f686-4003-ad15-24d1583beeb3,Cold Brew,Coffee,4500
c358a578-6c96-4834-b94a-46e050378242,Victoria Sponge Cake,Cake,6500
26870363-d766-4ef3-a33a-8814e20536d0,Chocolate Cake,Cake,6500
ec2bf800-839d-413f-8ae0-e6ad8c11342a,Affogato,Coffee,6000
73c07cd7-d0a0-495e-bad4-b6b50d19c605,Roll Cake ,Coffee,4000
8e7a85ed-ef25-4365-b029-77a3abf5b207,Macchiato,Coffee,6000
ffc4dfe5-855b-478a-8083-13bb020416ad,Latte (Caffe Latte),Coffee,6500
8a4b14c6-daa6-45c4-a820-e889bb58f12c,Mille Crepe Cake,Cake,8500
245565c6-0dd6-4bca-b254-31dd3793aadc,Americano,Coffee,6500
ab90823d-2920-4bcc-9358-e90c4673e6e0,Espresso,Coffee,4000
652c3b17-2582-42e6-9482-e1847e8580c9,Iced Latte,Coffee,6000
c0207cee-3417-4528-b7fe-ee72305c44e8,Vanilla Latte,Coffee,4000
f76417f4-b9fc-4215-a8d6-8705d70d9f88,Mocha,Coffee,6000
1d0d818a-c938-4e89-87b4-a26ab502fb59,Cappuccino,Coffee,4500
